1,0.055821,0.071882,0.055889
10,0.055939,0.040388,0.067823
20,0.068016,0.067972,0.068000
50,0.071689,0.076675,0.076381
100,0.060600,0.080203,0.076710
200,0.065663,0.089200,0.073759
500,0.113844,0.090301,0.113884
1000,0.176635,0.173807,0.176817
2000,0.308903,0.282285,0.293846
5000,0.849723,0.839587,0.846623
10000,2.274469,4.406597,2.233336
